2026-04-10 10:45:21,153 | INFO | mcp.server.streamable_http | - | Terminating session: 4a14734ebeb54754a40af9da800209ee
2026-04-10 10:45:32,696 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 4fe20b240321479d92bd2818f42c4e72
2026-04-10 10:45:32,822 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:45:32,884 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:45:32,958 | INFO | mcp.server.streamable_http | - | Terminating session: 4fe20b240321479d92bd2818f42c4e72
2026-04-10 10:45:42,367 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 81eab33470294a5984c8be081a6aac73
2026-04-10 10:45:42,491 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:45:42,560 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:45:42,630 | INFO | mcp.server.streamable_http | - | Terminating session: 81eab33470294a5984c8be081a6aac73
2026-04-10 10:45:48,779 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 69112a13c0c74c608552d7d567e9f51e
2026-04-10 10:45:48,902 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:45:48,964 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:45:49,027 | INFO | mcp.server.streamable_http | - | Terminating session: 69112a13c0c74c608552d7d567e9f51e
2026-04-10 10:48:41,585 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: bee2e3ed3a7041d6bdafcd599abbd2bb
2026-04-10 10:48:41,708 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:48:41,780 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:48:41,849 | INFO | mcp.server.streamable_http | - | Terminating session: bee2e3ed3a7041d6bdafcd599abbd2bb
2026-04-10 10:48:52,754 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 6fe3984548f3482a907bfaa9b188e541
2026-04-10 10:48:52,869 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:48:52,932 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
2026-04-10 10:48:53,000 | INFO | mcp.server.streamable_http | - | Terminating session: 6fe3984548f3482a907bfaa9b188e541
2026-04-10 10:49:06,249 | INFO | mcp.server.streamable_http_manager | - | Created new transport with session ID: 8ee8336a27e149cbaaae552de8375c3d
2026-04-10 10:49:06,374 | INFO | mcp.server.lowlevel.server | - | Processing request of type CallToolRequest
2026-04-10 10:49:06,446 | INFO | mcp.server.lowlevel.server | - | Processing request of type ListToolsRequest
